"","empirical"
"1","ENSG00000000003"
"2","ENSG00000000457"
"3","ENSG00000002330"
"4","ENSG00000003400"
"5","ENSG00000004478"
"6","ENSG00000006468"
"7","ENSG00000006712"
"8","ENSG00000006744"
"9","ENSG00000007255"
"10","ENSG00000008282"
"11","ENSG00000008283"
"12","ENSG00000009335"
"13","ENSG00000012963"
"14","ENSG00000013619"
"15","ENSG00000014216"
"16","ENSG00000015475"
"17","ENSG00000017260"
"18","ENSG00000020426"
"19","ENSG00000023041"
"20","ENSG00000023191"
"21","ENSG00000026508"
"22","ENSG00000027075"
"23","ENSG00000028839"
"24","ENSG00000035862"
"25","ENSG00000039560"
"26","ENSG00000044524"
"27","ENSG00000046604"
"28","ENSG00000050748"
"29","ENSG00000053371"
"30","ENSG00000054116"
"31","ENSG00000054267"
"32","ENSG00000054654"
"33","ENSG00000058063"
"34","ENSG00000060558"
"35","ENSG00000062725"
"36","ENSG00000063660"
"37","ENSG00000064961"
"38","ENSG00000065457"
"39","ENSG00000065526"
"40","ENSG00000065675"
"41","ENSG00000065911"
"42","ENSG00000066468"
"43","ENSG00000066855"
"44","ENSG00000067177"
"45","ENSG00000067248"
"46","ENSG00000067334"
"47","ENSG00000067704"
"48","ENSG00000068120"
"49","ENSG00000069943"
"50","ENSG00000070061"
"51","ENSG00000070081"
"52","ENSG00000070501"
"53","ENSG00000070770"
"54","ENSG00000070831"
"55","ENSG00000071051"
"56","ENSG00000071189"
"57","ENSG00000072062"
"58","ENSG00000072134"
"59","ENSG00000072501"
"60","ENSG00000072786"
"61","ENSG00000073060"
"62","ENSG00000073614"
"63","ENSG00000074047"
"64","ENSG00000076864"
"65","ENSG00000076944"
"66","ENSG00000078142"
"67","ENSG00000078401"
"68","ENSG00000078674"
"69","ENSG00000079277"
"70","ENSG00000079459"
"71","ENSG00000079691"
"72","ENSG00000079819"
"73","ENSG00000079999"
"74","ENSG00000080802"
"75","ENSG00000080823"
"76","ENSG00000081189"
"77","ENSG00000082212"
"78","ENSG00000083828"
"79","ENSG00000084072"
"80","ENSG00000084652"
"81","ENSG00000085511"
"82","ENSG00000085719"
"83","ENSG00000085872"
"84","ENSG00000086827"
"85","ENSG00000087245"
"86","ENSG00000087460"
"87","ENSG00000088256"
"88","ENSG00000088448"
"89","ENSG00000088808"
"90","ENSG00000089159"
"91","ENSG00000090339"
"92","ENSG00000090674"
"93","ENSG00000090861"
"94","ENSG00000091140"
"95","ENSG00000092010"
"96","ENSG00000095066"
"97","ENSG00000095739"
"98","ENSG00000099622"
"99","ENSG00000099942"
"100","ENSG00000100225"
"101","ENSG00000100422"
"102","ENSG00000100532"
"103","ENSG00000100554"
"104","ENSG00000100596"
"105","ENSG00000100612"
"106","ENSG00000100644"
"107","ENSG00000100911"
"108","ENSG00000101017"
"109","ENSG00000101255"
"110","ENSG00000101335"
"111","ENSG00000101654"
"112","ENSG00000102879"
"113","ENSG00000102893"
"114","ENSG00000103066"
"115","ENSG00000103126"
"116","ENSG00000103245"
"117","ENSG00000103260"
"118","ENSG00000103266"
"119","ENSG00000103540"
"120","ENSG00000103653"
"121","ENSG00000103942"
"122","ENSG00000104064"
"123","ENSG00000104067"
"124","ENSG00000104365"
"125","ENSG00000104763"
"126","ENSG00000104825"
"127","ENSG00000105255"
"128","ENSG00000105258"
"129","ENSG00000105379"
"130","ENSG00000105447"
"131","ENSG00000105699"
"132","ENSG00000105810"
"133","ENSG00000106004"
"134","ENSG00000106070"
"135","ENSG00000106355"
"136","ENSG00000106399"
"137","ENSG00000106484"
"138","ENSG00000106635"
"139","ENSG00000106976"
"140","ENSG00000107281"
"141","ENSG00000107438"
"142","ENSG00000107560"
"143","ENSG00000108039"
"144","ENSG00000108055"
"145","ENSG00000108175"
"146","ENSG00000108578"
"147","ENSG00000108604"
"148","ENSG00000108669"
"149","ENSG00000108861"
"150","ENSG00000109084"
"151","ENSG00000109107"
"152","ENSG00000109184"
"153","ENSG00000109452"
"154","ENSG00000109654"
"155","ENSG00000109814"
"156","ENSG00000109971"
"157","ENSG00000110092"
"158","ENSG00000110108"
"159","ENSG00000110801"
"160","ENSG00000110911"
"161","ENSG00000111276"
"162","ENSG00000111652"
"163","ENSG00000111679"
"164","ENSG00000112033"
"165","ENSG00000112200"
"166","ENSG00000112249"
"167","ENSG00000112576"
"168","ENSG00000112592"
"169","ENSG00000112701"
"170","ENSG00000112941"
"171","ENSG00000112972"
"172","ENSG00000113161"
"173","ENSG00000113558"
"174","ENSG00000114388"
"175","ENSG00000114423"
"176","ENSG00000114738"
"177","ENSG00000114867"
"178","ENSG00000115415"
"179","ENSG00000115525"
"180","ENSG00000115548"
"181","ENSG00000115657"
"182","ENSG00000115816"
"183","ENSG00000115993"
"184","ENSG00000116096"
"185","ENSG00000116237"
"186","ENSG00000116711"
"187","ENSG00000116741"
"188","ENSG00000116791"
"189","ENSG00000116977"
"190","ENSG00000117308"
"191","ENSG00000117676"
"192","ENSG00000117682"
"193","ENSG00000117748"
"194","ENSG00000117984"
"195","ENSG00000118217"
"196","ENSG00000118260"
"197","ENSG00000118600"
"198","ENSG00000118689"
"199","ENSG00000119242"
"200","ENSG00000119326"
"201","ENSG00000119699"
"202","ENSG00000119912"
"203","ENSG00000119953"
"204","ENSG00000120756"
"205","ENSG00000120875"
"206","ENSG00000120992"
"207","ENSG00000121741"
"208","ENSG00000121892"
"209","ENSG00000121966"
"210","ENSG00000122873"
"211","ENSG00000123268"
"212","ENSG00000123374"
"213","ENSG00000124151"
"214","ENSG00000124164"
"215","ENSG00000124356"
"216","ENSG00000125304"
"217","ENSG00000125375"
"218","ENSG00000125818"
"219","ENSG00000126581"
"220","ENSG00000126602"
"221","ENSG00000126777"
"222","ENSG00000127445"
"223","ENSG00000127452"
"224","ENSG00000127666"
"225","ENSG00000127947"
"226","ENSG00000127955"
"227","ENSG00000128050"
"228","ENSG00000128340"
"229","ENSG00000128708"
"230","ENSG00000128965"
"231","ENSG00000128989"
"232","ENSG00000129515"
"233","ENSG00000129518"
"234","ENSG00000130203"
"235","ENSG00000130227"
"236","ENSG00000130475"
"237","ENSG00000131370"
"238","ENSG00000131408"
"239","ENSG00000132002"
"240","ENSG00000132128"
"241","ENSG00000132170"
"242","ENSG00000132199"
"243","ENSG00000132275"
"244","ENSG00000132383"
"245","ENSG00000132970"
"246","ENSG00000133142"
"247","ENSG00000134215"
"248","ENSG00000134574"
"249","ENSG00000135048"
"250","ENSG00000135473"
"251","ENSG00000135750"
"252","ENSG00000135932"
"253","ENSG00000136051"
"254","ENSG00000136193"
"255","ENSG00000136240"
"256","ENSG00000136448"
"257","ENSG00000136758"
"258","ENSG00000136875"
"259","ENSG00000136877"
"260","ENSG00000136891"
"261","ENSG00000137154"
"262","ENSG00000137161"
"263","ENSG00000137274"
"264","ENSG00000137331"
"265","ENSG00000137764"
"266","ENSG00000137843"
"267","ENSG00000137845"
"268","ENSG00000138074"
"269","ENSG00000138081"
"270","ENSG00000138279"
"271","ENSG00000139687"
"272","ENSG00000140307"
"273","ENSG00000140391"
"274","ENSG00000140395"
"275","ENSG00000140443"
"276","ENSG00000140575"
"277","ENSG00000140650"
"278","ENSG00000140830"
"279","ENSG00000140943"
"280","ENSG00000141367"
"281","ENSG00000141510"
"282","ENSG00000141682"
"283","ENSG00000141736"
"284","ENSG00000141738"
"285","ENSG00000141959"
"286","ENSG00000142192"
"287","ENSG00000142546"
"288","ENSG00000142949"
"289","ENSG00000143033"
"290","ENSG00000143162"
"291","ENSG00000143409"
"292","ENSG00000143479"
"293","ENSG00000143554"
"294","ENSG00000143653"
"295","ENSG00000144118"
"296","ENSG00000144381"
"297","ENSG00000144848"
"298","ENSG00000145022"
"299","ENSG00000145335"
"300","ENSG00000145555"
"301","ENSG00000145687"
"302","ENSG00000145715"
"303","ENSG00000145901"
"304","ENSG00000145907"
"305","ENSG00000145990"
"306","ENSG00000146072"
"307","ENSG00000147155"
"308","ENSG00000147383"
"309","ENSG00000148400"
"310","ENSG00000148484"
"311","ENSG00000149499"
"312","ENSG00000149658"
"313","ENSG00000150347"
"314","ENSG00000150687"
"315","ENSG00000151148"
"316","ENSG00000151729"
"317","ENSG00000151929"
"318","ENSG00000152464"
"319","ENSG00000152894"
"320","ENSG00000153140"
"321","ENSG00000153936"
"322","ENSG00000154174"
"323","ENSG00000155111"
"324","ENSG00000155760"
"325","ENSG00000156502"
"326","ENSG00000156515"
"327","ENSG00000156650"
"328","ENSG00000156873"
"329","ENSG00000157240"
"330","ENSG00000157404"
"331","ENSG00000157514"
"332","ENSG00000157617"
"333","ENSG00000158092"
"334","ENSG00000158555"
"335","ENSG00000158793"
"336","ENSG00000159176"
"337","ENSG00000159228"
"338","ENSG00000160014"
"339","ENSG00000160049"
"340","ENSG00000160113"
"341","ENSG00000160208"
"342","ENSG00000161204"
"343","ENSG00000162627"
"344","ENSG00000162777"
"345","ENSG00000163050"
"346","ENSG00000163069"
"347","ENSG00000163513"
"348","ENSG00000163697"
"349","ENSG00000163902"
"350","ENSG00000163956"
"351","ENSG00000164167"
"352","ENSG00000164867"
"353","ENSG00000164985"
"354","ENSG00000165025"
"355","ENSG00000165169"
"356","ENSG00000165516"
"357","ENSG00000165704"
"358","ENSG00000165912"
"359","ENSG00000166033"
"360","ENSG00000166037"
"361","ENSG00000166197"
"362","ENSG00000166225"
"363","ENSG00000166398"
"364","ENSG00000166503"
"365","ENSG00000166619"
"366","ENSG00000167695"
"367","ENSG00000167977"
"368","ENSG00000168118"
"369","ENSG00000168175"
"370","ENSG00000168209"
"371","ENSG00000168286"
"372","ENSG00000168434"
"373","ENSG00000168461"
"374","ENSG00000168734"
"375","ENSG00000168906"
"376","ENSG00000168938"
"377","ENSG00000169598"
