"","pert_iname","mean","n","median","sd","sRGES"
"1","BRD-K91617567",-0.664082751337452,1,-0.664082751337452,NA,-0.664082751337452
"2","BRD-K24133356",-0.625969472152936,1,-0.625969472152936,NA,-0.625969472152936
"3","BRD-K23050218",-0.618160287756456,1,-0.618160287756456,NA,-0.618160287756456
"4","BRD-K62014585",-0.603431961577379,1,-0.603431961577379,NA,-0.603431961577379
"5","BRD-K01727336",-0.587406175957442,1,-0.587406175957442,NA,-0.587406175957442
"6","BRD-K94597513",-0.583388128582738,1,-0.583388128582738,NA,-0.583388128582738
"7","BRD-K20792495",-0.581314265128658,1,-0.581314265128658,NA,-0.581314265128658
"8","BRD-K31439714",-0.577749981294829,2,-0.577749981294829,0.0333279372086632,-0.577749981294829
"9","BRD-K12342216",-0.577536877477847,1,-0.577536877477847,NA,-0.577536877477847
"10","BRD-K27647724",-0.576384221878508,1,-0.576384221878508,NA,-0.576384221878508
"11","BRD-K88908047",-0.575697211642559,1,-0.575697211642559,NA,-0.575697211642559
"12","BRD-K26160077",-0.570451826618924,1,-0.570451826618924,NA,-0.570451826618924
"13","BRD-K58560613",-0.569937600144786,1,-0.569937600144786,NA,-0.569937600144786
"14","BRD-M91342002",-0.569555803078297,1,-0.569555803078297,NA,-0.569555803078297
"15","BRD-K72561299",-0.569096803244206,2,-0.569096803244206,0.0223634974592721,-0.569096803244206
"16","BRD-K78800374",-0.566986057077695,2,-0.566986057077695,0.0878141825510075,-0.566986057077695
"17","BRD-K57179401",-0.561573857785998,1,-0.561573857785998,NA,-0.561573857785998
"18","BRD-K60019754",-0.558831316590591,1,-0.558831316590591,NA,-0.558831316590591
"19","BRD-K86846131",-0.554413620833134,1,-0.554413620833134,NA,-0.554413620833134
"20","BRD-K09563163",-0.553188551880039,1,-0.553188551880039,NA,-0.553188551880039
"21","BRD-K28578807",-0.552284301582823,1,-0.552284301582823,NA,-0.552284301582823
"22","BRD-K55452151",-0.551839761454239,1,-0.551839761454239,NA,-0.551839761454239
"23","BRD-K97029281",-0.55172011906084,1,-0.55172011906084,NA,-0.55172011906084
"24","BRD-K11194815",-0.551420841086141,1,-0.551420841086141,NA,-0.551420841086141
"25","BRD-K37777176",-0.549786980368974,1,-0.549786980368974,NA,-0.549786980368974
"26","BRD-K78738487",-0.549313543695368,1,-0.549313543695368,NA,-0.549313543695368
"27","BRD-K93164329",-0.548833232336279,1,-0.548833232336279,NA,-0.548833232336279
"28","BRD-K24736231",-0.547107445690833,2,-0.547107445690833,0.0336769668254219,-0.547107445690833
"29","BRD-K73104592",-0.547094853533776,1,-0.547094853533776,NA,-0.547094853533776
"30","BRD-K58360282",-0.545466905145377,1,-0.545466905145377,NA,-0.545466905145377
"31","BRD-K21232697",-0.543386625318179,1,-0.543386625318179,NA,-0.543386625318179
"32","BRD-K68836298",-0.54256350774266,2,-0.54256350774266,0.0196545641697696,-0.54256350774266
"33","BRD-K29745382",-0.542513081949455,1,-0.542513081949455,NA,-0.542513081949455
"34","BRD-K17157581",-0.542485147761149,1,-0.542485147761149,NA,-0.542485147761149
"35","BRD-K03289154",-0.541229131290383,2,-0.541229131290383,0.0351327152362647,-0.541229131290383
"36","BRD-K84787606",-0.540201583533841,1,-0.540201583533841,NA,-0.540201583533841
"37","BRD-K46446437",-0.539528551825041,1,-0.539528551825041,NA,-0.539528551825041
"38","BRD-K75717096",-0.536616916232741,1,-0.536616916232741,NA,-0.536616916232741
"39","BRD-K49623506",-0.536543105075897,1,-0.536543105075897,NA,-0.536543105075897
"40","BRD-K86638751",-0.536302972262344,1,-0.536302972262344,NA,-0.536302972262344
"41","BRD-K41120089",-0.535610003965644,1,-0.535610003965644,NA,-0.535610003965644
"42","BRD-K19554975",-0.534413579535395,1,-0.534413579535395,NA,-0.534413579535395
"43","BRD-K95521279",-0.53394426767308,1,-0.53394426767308,NA,-0.53394426767308
"44","BRD-K07298554",-0.533391722328703,1,-0.533391722328703,NA,-0.533391722328703
"45","BRD-K50845321",-0.532387609723514,1,-0.532387609723514,NA,-0.532387609723514
"46","BRD-K50282595",-0.532370652165989,1,-0.532370652165989,NA,-0.532370652165989
"47","BRD-K85642378",-0.532206576339125,1,-0.532206576339125,NA,-0.532206576339125
"48","BRD-K71555338",-0.532022781647546,2,-0.532022781647546,0.071605175922265,-0.532022781647546
"49","BRD-K53601225",-0.531612592080385,2,-0.531612592080385,0.0815945201509848,-0.531612592080385
"50","BRD-K59423635",-0.529174358862703,1,-0.529174358862703,NA,-0.529174358862703
